name,display_name,rarity,path,combat_type,gender,world,release_version,release_date
Acheron,,5,Nihility,Lightning,Female,Cosmic,2.1,R
Aglaea,,5,Remembrance,Lightning,Female,Amphoreus,3.0,2025-02-05
Anaxa,,5,Erudition,Wind,Male,Amphoreus,3.2,2025-04-30
Archer,,5,Hunt,Quantum,Male,Another World,3.4,2025-07-11
Argenti,,5,Erudition,Physical,Male,Cosmic,1.5,2023-12-06
Arlan,,4,Destruction,Lightning,Male,Herta Space Station,1.0,R
Ashveil,,5,Hunt,Lightning,Male,Planarcadia,4.1,R
Asta,,4,Harmony,Fire,Female,Herta Space Station,1.0,R
Aventurine,,5,Preservation,Imaginary,Male,Sigonia-IV,2.1,2024-04-17
Aventurine • Waveflair,Aventurine Waveflair,5,Elation,Quantum,Male,Sigonia-IV,4.5,
Bailu,,5,Abundance,Lightning,Female,Xianzhou Alliance,1.0,R
Black Swan,,5,Nihility,Wind,Female,Cosmic,2.0,R
Blade,,5,Destruction,Wind,Male,,1.2,R
Boothill,,5,Hunt,Physical,Male,Cosmic,2.2,2024-05-29
Bronya,,5,Harmony,Wind,Female,Jarilo-VI,1.0,R
Castorice,,5,Remembrance,Quantum,Female,Amphoreus,3.2,R
Cerydra,,5,Harmony,Wind,Female,Amphoreus,3.5,2025-09-02
Cipher,,5,Nihility,Quantum,Female,Amphoreus,3.3,2025-06-11
Clara,,5,Destruction,Physical,Female,Jarilo-VI,1.0,R
Cyrene,,5,Remembrance,Ice,Female,Amphoreus,3.7,R
Dan Heng,,4,Hunt,Wind,Male,Astral Express,1.0,R
Dan Heng • Imbibitor Lunae,Dan Heng IL,5,Destruction,Imaginary,Male,Xianzhou Alliance,1.3,R
Dan Heng • Permansor Terrae,Dan Heng PT,5,Preservation,Physical,Male,Amphoreus,3.6,2025-10-15
Dr. Ratio,,5,Hunt,Imaginary,Male,Cosmic,1.6,2024-01-17
Evanescia,,5,Elation,Physical,Female,Planarcadia,4.2,2026-05-13
Evernight,,5,Remembrance,Ice,Female,Amphoreus,3.6,R
Feixiao,,5,Hunt,Wind,Female,Xianzhou Alliance,2.5,R
Firefly,,5,Destruction,Fire,Female,Glamoth,2.3,R
Fu Xuan,,5,Preservation,Quantum,Female,Xianzhou Alliance,1.3,2023-09-20
Fugue,,5,Nihility,Fire,Female,Xianzhou Alliance,2.7,2024-12-25
Gallagher,,4,Abundance,Fire,Male,Penacony,2.1,R
Gepard,,5,Preservation,Ice,Male,Jarilo-VI,1.0,R
Gilgamesh,,5,Destruction,Lightning,Male,Another World,4.4,2026-07-24
Guinaifen,,4,Nihility,Fire,Female,Xianzhou Alliance,1.4,2023-10-27
Hanya,,4,Harmony,Physical,Female,Xianzhou Alliance,1.5,2023-12-06
Herta,,4,Erudition,Ice,Female,Herta Space Station,1.0,R
Himeko,,5,Erudition,Fire,Female,Astral Express,1.0,R
Himeko • Nova,Himeko Nova,5,Erudition,Fire,Female,Astral Express,4.4,R
Hook,,4,Destruction,Fire,Female,Jarilo-VI,1.0,R
Huohuo,,5,Abundance,Wind,Female,Xianzhou Alliance,1.5,R
Hyacine,,5,Remembrance,Wind,Female,Amphoreus,3.3,R
Hysilens,,5,Nihility,Physical,Female,Amphoreus,3.5,R
Jade,,5,Erudition,Quantum,Female,,2.3,2024-07-10
Jiaoqiu,,5,Nihility,Fire,Male,Xianzhou Alliance,2.4,2024-08-21
Jing Yuan,,5,Erudition,Lightning,Male,Xianzhou Alliance,1.0,2023-05-17
Jingliu,,5,Destruction,Ice,Female,Xianzhou Alliance,1.4,R
Kafka,,5,Nihility,Lightning,Female,Pteruges-V,1.2,2023-08-09
Lingsha,,5,Abundance,Fire,Female,Xianzhou Alliance,2.5,2024-10-02
Luka,,4,Nihility,Physical,Male,Jarilo-VI,1.2,2023-08-09
Luocha,,5,Abundance,Imaginary,Male,Xianzhou Alliance,1.1,2023-06-28
Lynx,,4,Abundance,Quantum,Female,Jarilo-VI,1.3,2023-09-20
March 7th,March 7th; March 7th (Hunt),4,Preservation; Hunt,Ice; Imaginary,Female,Astral Express,1.0,R
Misha,,4,Destruction,Ice,Male,Penacony,2.0,R
Mortenax Blade,,5,Nihility,Fire,Male,,4.3,R
Moze,,4,Hunt,Lightning,Male,Xianzhou Alliance,2.5,R
Mydei,,5,Destruction,Imaginary,Male,Amphoreus,3.1,2025-03-19
Natasha,,4,Abundance,Physical,Female,Jarilo-VI,1.0,R
Pela,,4,Nihility,Ice,Female,Jarilo-VI,1.0,R
Phainon,,5,Destruction,Physical,Male,Amphoreus,3.4,R
Qingque,,4,Erudition,Quantum,Female,Xianzhou Alliance,1.0,R
Rappa,,5,Erudition,Imaginary,Female,Cosmic,2.6,R
Rin Tohsaka,,5,Erudition,Quantum,Female,Another World,4.4,2026-07-24
Robin,,5,Harmony,Physical,Female,Penacony,2.2,R
Robin • Summeretto,Robin Summeretto,5,Remembrance,Wind,Female,Penacony,4.5,
Ruan Mei,,5,Harmony,Ice,Female,Herta Space Station,1.6,R
Saber,,5,Destruction,Wind,Female,Another World,3.4,2025-07-11
Sampo,,4,Nihility,Wind,Male,Jarilo-VI,1.0,R
Seele,,5,Hunt,Quantum,Female,Jarilo-VI,1.0,R
Serval,,4,Erudition,Lightning,Female,Jarilo-VI,1.0,R
Silver Wolf,,5,Nihility,Quantum,Female,Punklorde,1.1,R
Silver Wolf LV.999,,5,Elation,Imaginary,Female,Punklorde,4.2,R
Sparkle,,5,Harmony,Quantum,Female,Cosmic,2.0,2024-02-29
Sparxie,,5,Elation,Fire,Female,Planarcadia,4.0,2026-03-03
Sunday,,5,Harmony,Imaginary,Male,Cosmic,2.7,R
Sushang,,4,Hunt,Physical,Female,Xianzhou Alliance,1.0,R
The Dahlia,,5,Nihility,Fire,Female,Cosmic,3.8,R
The Herta,,5,Erudition,Ice,Female,Herta Space Station,3.0,R
Tingyun,,4,Harmony,Lightning,Female,Xianzhou Alliance,1.0,R
Topaz & Numby,Topaz,5,Hunt,Fire,Female,,1.4,2023-10-27
Tribbie,,5,Harmony,Quantum,Female,Amphoreus,3.1,R
Welt,,5,Nihility,Imaginary,Male,Astral Express,1.0,R
Xueyi,,4,Destruction,Quantum,Female,Xianzhou Alliance,1.6,R
Yanqing,,5,Hunt,Ice,Male,Xianzhou Alliance,1.0,R
Yao Guang,,5,Elation,Physical,Female,Xianzhou Alliance,4.0,R
Yukong,,4,Harmony,Imaginary,Female,Xianzhou Alliance,1.1,2023-06-28
Yunli,,5,Destruction,Physical,Female,Xianzhou Alliance,2.4,R
